trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
87,1,983.4000000357628,100,4850,20,3.136,0.25,3.896,0,0,1
88,1,860.6999999880791,50,4900,20,2.412,0.25,2.162,0,0,1
89,1,1287.300000011921,50,4950,4,5.674,0.05,5.006,0,0,1
90,1,2325,100,5050,20,3.178,0.25,4.026,0,0,1
91,1,999.5,0,5050,12,4.623,0.15,7.092,0,0,1
92,1,1151.4000000357628,0,5050,12,4.689,0.15,7.44,0,0,1
93,1,815.5,50,5100,20,2.994,0.25,3.482,0,0,1
94,1,608.8000000119209,100,5200,20,3.119,0.25,3.843,0,0,1
95,1,1406.699999988079,100,5300,4,5.21,0.05,3.601,0,0,1
96,1,912.3999999761581,50,5350,20,2.835,0.25,3.068,0,0,1
97,1,705.6000000238419,50,5400,20,2.49,0.25,2.309,0,0,1
98,1,826.1999999880791,50,5450,20,3.06,0.25,3.67,0,0,1
99,1,1001.1000000238419,0,5450,12,4.436,0.15,6.195,0,0,1
100,1,662.8999999761581,100,5550,20,2.567,0.25,2.462,0,0,1
101,1,773.1999999880791,50,5600,20,2.099,0.25,1.642,0,0,1
102,1,797,0,5600,20,3.455,0.25,4.984,0,0,1
103,1,848.6999999880791,100,5700,20,2.812,0.25,3.011,0,0,1
104,1,1471.699999988079,100,5800,4,5.951,0.05,6.084,0,0,1
105,1,822.9000000357628,100,5900,20,2.514,0.25,2.355,0,0,1
106,1,1086.199999988079,100,6000,12,4.752,0.15,7.782,0,0,1
107,1,1004.1999999880791,50,6050,12,3.597,0.15,3.331,0,0,1
108,1,731,0,6050,20,2.139,0.25,1.702,0,0,1
109,1,1040.9000000357628,100,6150,20,2.964,0.25,3.402,0,0,1
110,1,1357.7000000476837,0,6150,4,6.266,0.05,7.598,0,0,1
111,1,888.1000000238419,50,6200,20,2.555,0.25,2.439,0,0,1
112,1,2088.900000035763,0,6200,20,2.427,0.25,2.188,0,0,1
113,1,1004.3999999761581,50,6250,20,3.271,0.25,4.328,0,0,1
114,1,844.8999999761581,50,6300,20,2.725,0.25,2.805,0,0,1
115,1,1486.800000011921,100,6400,4,5.863,0.05,5.719,0,0,1
116,1,970.5,50,6450,20,2.496,0.25,2.321,0,0,1
117,1,1476.1000000238419,100,6550,20,3.018,0.25,3.551,0,0,1
118,1,760.1000000238419,100,6650,20,2.72,0.25,2.795,0,0,1
119,1,1309.199999988079,0,6650,4,5.939,0.05,6.037,0,0,1
120,1,740.6000000238419,0,6650,20,3.227,0.25,4.18,0,0,1
121,1,1093.9000000357628,50,6700,12,3.67,0.15,3.519,0,0,1
122,1,1261.6000000238419,0,6700,4,5.013,0.05,3.129,0,0,1
123,1,1186.2999999523163,0,6700,4,6.23,0.05,7.406,0,0,1
124,1,1221.7000000476837,100,6800,4,5.804,0.05,5.488,0,0,1
125,1,1462.800000011921,0,6800,4,5.443,0.05,4.249,0,0,1
126,1,974.5999999642372,50,6850,12,4.08,0.15,4.773,0,0,1
127,1,865.1000000238419,50,6900,20,3.189,0.25,4.061,0,0,1
128,1,899.3999999761581,100,7000,20,3.323,0.25,4.504,0,0,1
129,1,783.5999999642372,50,7050,20,2.291,0.25,1.947,0,0,1
130,1,1269.199999988079,100,7150,4,6.193,0.05,7.218,0,0,1
131,1,1890.9000000357628,100,7250,4,6.407,0.05,8.387,0,0,1
132,1,823.2999999523163,0,7250,20,2.502,0.25,2.333,0,0,1
133,1,1216,100,7350,12,3.711,0.15,3.628,0,0,1
134,1,1594.3999999761581,0,7350,4,6.332,0.05,7.954,0,0,1
135,1,729.4000000357628,100,7450,20,3.009,0.25,3.524,0,0,1
136,1,1452.3999999761581,50,7500,4,5.126,0.05,3.392,0,0,1
137,1,930.1000000238419,50,7550,20,3.102,0.25,3.792,0,0,1
138,1,1430.3999999761581,100,7650,4,5.108,0.05,3.348,0,0,1
139,1,730.8999999761581,50,7700,20,3.037,0.25,3.605,0,0,1
140,1,1104.1000000238419,0,7700,4,5.148,0.05,3.447,0,0,1
141,1,822.3000000119209,50,7750,20,3.461,0.25,5.007,0,0,1
142,1,826.1000000238419,100,7850,20,2.251,0.25,1.88,0,0,1
143,1,969.7000000476837,100,7950,12,4.828,0.15,8.223,0,0,1
144,1,769.3000000119209,100,8050,20,2.685,0.25,2.714,0,0,1
145,1,752.1000000238419,50,8100,20,2.388,0.25,2.116,0,0,1
146,1,1518.0999999642372,50,8150,4,6.006,0.05,6.327,0,0,1
147,1,1265.1000000238419,0,8150,4,6.416,0.05,8.44,0,0,1
148,1,892.6999999880791,0,8150,20,3.361,0.25,4.636,0,0,1
149,1,1123.300000011921,0,8150,12,4.679,0.15,7.385,0,0,1
150,1,920,100,8250,20,2.681,0.25,2.707,0,0,1
151,1,975.6000000238419,0,8250,12,4.62,0.15,7.075,0,0,1
152,1,1070.6000000238419,50,8300,12,4.849,0.15,8.344,0,0,1
153,1,1444.6000000238419,0,8300,20,3.323,0.25,4.504,0,0,1
154,1,1926.699999988079,0,8300,4,5.711,0.05,5.139,0,0,1
155,1,1708.699999988079,0,8300,4,6.386,0.05,8.265,0,0,1
156,1,1250.5,50,8350,4,5.617,0.05,4.807,0,0,1
157,1,832.8000000119209,0,8350,20,2.703,0.25,2.755,0,0,1
158,1,1221.5,50,8400,20,3.089,0.25,3.754,0,0,1
159,1,1667.199999988079,0,8400,4,6.116,0.05,6.838,0,0,1
160,1,1945.3999999761581,100,8500,4,5.833,0.05,5.602,0,0,1
161,1,1753.800000011921,50,8550,4,5.547,0.05,4.575,0,0,1
162,1,1354.8999999761581,100,8650,4,5.565,0.05,4.633,0,0,1
163,1,1316.300000011921,100,8750,4,5.612,0.05,4.789,0,0,1
164,1,1667.6000000238419,0,8750,12,4.019,0.15,4.564,0,0,1
165,1,2053.600000023842,0,8750,4,5.23,0.05,3.654,0,0,1
166,1,1190.800000011921,0,8750,20,3.414,0.25,4.829,0,0,1
167,1,1565.5,100,8850,4,5.149,0.05,3.449,0,0,1
168,1,1608.5,0,8850,4,5.435,0.05,4.226,0,0,1
169,1,987,50,8900,12,3.572,0.15,3.267,0,0,1
170,1,1048.7999999523163,50,8950,12,4.395,0.15,6.01,0,0,1
171,1,884.0999999642372,50,9000,12,3.737,0.15,3.699,0,0,1
172,1,1564.1000000238419,100,9100,4,5.37,0.05,4.037,0,0,1
173,1,1413.6000000238419,0,9100,4,6.332,0.05,7.955,0,0,1
174,1,898.6999999880791,0,9100,20,2.48,0.25,2.29,0,0,1
175,1,877.1999999880791,100,9200,20,3.381,0.25,4.71,0,0,1
176,1,1618.300000011921,0,9200,4,6.352,0.05,8.07,0,0,1
177,1,1589.5999999642372,100,9300,4,5.716,0.05,5.155,0,0,1
178,1,710.9000000357628,0,9300,20,2.705,0.25,2.761,0,0,1
179,1,960.5,50,9350,20,3.256,0.25,4.276,0,0,1
180,1,866.3999999761581,100,9450,12,4.085,0.15,4.79,0,0,1
181,1,807.1999999880791,100,9550,20,2.691,0.25,2.728,0,0,1
182,1,953.1999999880791,100,9650,12,4.221,0.15,5.294,0,0,1
183,1,908.5999999642372,100,9750,20,3.382,0.25,4.713,0,0,1
184,1,1456.699999988079,0,9750,4,5.882,0.05,5.798,0,0,1
185,1,1799.5,50,9800,4,5.265,0.05,3.745,0,0,1
186,1,1156,100,9900,12,4.142,0.15,4.996,0,0,1
187,1,1109.5,50,9950,12,4.277,0.15,5.516,0,0,1
188,1,997.5,0,9950,12,3.611,0.15,3.366,0,0,1
189,1,821.3000000119209,100,10050,20,2.731,0.25,2.82,0,0,1
190,1,1059.6000000238419,50,10100,12,4.004,0.15,4.512,0,0,1
191,1,973.1999999880791,0,10100,20,2.32,0.25,1.997,0,0,1
192,1,1004,0,10100,20,3.039,0.25,3.609,0,0,1
193,1,1975.6000000238419,0,10100,4,5.997,0.05,6.287,0,0,1
194,1,937.5,0,10100,20,3.309,0.25,4.455,0,0,1
195,1,1998.699999988079,0,10100,4,5.432,0.05,4.219,0,0,1
196,1,2103.600000023842,100,10200,4,6.216,0.05,7.334,0,0,1
197,1,1447.9000000357628,100,10300,4,6.113,0.05,6.821,0,0,1
198,0,3000.099999964237,0,10300,20,2.563,0.25,2.454,1,0,1
198,1,1079.699999988079,0,10300,20,2.563,0.25,2.454,0,0,1
199,1,1229.1000000238419,100,10400,12,3.817,0.15,3.927,0,0,1
200,1,1450.199999988079,50,10450,4,6.033,0.05,6.448,0,0,1
201,1,1917.7999999523163,50,10500,4,6.08,0.05,6.664,0,0,1
202,0,1255.300000011921,100,10500,4,5.129,0.05,3.399,0,0,1
203,1,1612,100,10600,4,6.048,0.05,6.518,0,0,1
204,1,1208.1000000238419,50,10650,4,5.493,0.05,4.405,0,0,1
205,1,861.6000000238419,0,10650,12,3.6,0.15,3.337,0,0,1
206,1,947,0,10650,20,3.413,0.25,4.825,0,0,1
207,1,1797.699999988079,0,10650,4,6.481,0.05,8.835,0,0,1
208,1,870,0,10650,20,3.166,0.25,3.987,0,0,1
209,1,764.3000000119209,50,10700,20,2.764,0.25,2.896,0,0,1
210,1,813.6999999880791,50,10750,20,2.624,0.25,2.582,0,0,1
211,1,1756.1000000238419,0,10750,4,5.378,0.05,4.059,0,0,1
212,1,1494.3999999761581,50,10800,12,4.814,0.15,8.138,0,0,1
