trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
702,1,2108.100000023842,100,33850,5,6.103,0.05,6.774,0,0,1
703,1,2157.2999999523163,100,33950,5,6.104,0.05,6.779,0,0,1
704,1,1437.3999999761581,50,34000,15,4.4,0.15,6.035,0,0,1
705,1,1032.7000000476837,100,34100,25,2.657,0.25,2.653,0,0,1
706,1,1426.3999999761581,0,34100,15,3.744,0.15,3.718,0,0,1
707,1,1301.5,50,34150,25,2.957,0.25,3.382,0,0,1
708,1,1270.6000000238419,50,34200,15,4.509,0.15,6.53,0,0,1
709,1,1359.2000000476837,0,34200,15,4.186,0.15,5.159,0,0,1
710,1,1562.7999999523163,100,34300,15,3.509,0.15,3.116,0,0,1
711,1,1820.6000000238419,0,34300,5,5.723,0.05,5.182,0,0,1
712,1,1433.3000000715256,0,34300,15,3.719,0.15,3.649,0,0,1
713,1,1416.6999999284744,0,34300,15,3.662,0.15,3.498,0,0,1
714,1,1476.4000000953674,50,34350,15,3.918,0.15,4.236,0,0,1
715,1,1622.1000000238419,50,34400,15,4.878,0.15,8.522,0,0,1
716,1,1428.6000000238419,100,34500,25,2.678,0.25,2.7,0,0,1
717,1,1948.6000000238419,0,34500,5,5.246,0.05,3.694,0,0,1
718,1,1113,0,34500,25,3.274,0.25,4.337,0,0,1
719,1,1219,50,34550,25,2.968,0.25,3.413,0,0,1
720,1,1505.7000000476837,50,34600,15,4.454,0.15,6.277,0,0,1
721,1,1792.3999999761581,50,34650,5,6.32,0.05,7.89,0,0,1
722,1,1644.7999999523163,100,34750,15,4.992,0.15,9.245,0,0,1
723,1,1365.8999999761581,100,34850,25,3.304,0.25,4.437,0,0,1
724,1,1165.2999999523163,100,34950,25,3.06,0.25,3.671,0,0,1
725,1,947.7999999523163,0,34950,25,2.204,0.25,1.804,0,0,1
726,1,969.5,50,35000,25,2.942,0.25,3.341,0,0,1
727,1,1430.2999999523163,50,35050,15,4.376,0.15,5.928,0,0,1
728,1,1239.6000000238419,0,35050,25,3.141,0.25,3.91,0,0,1
729,1,1773.6000000238419,100,35150,5,5.157,0.05,3.467,0,0,1
730,0,1627.1000000238419,50,35150,5,5.65,0.05,4.922,0,0,1
731,1,1161.6000000238419,0,35150,15,4.24,0.15,5.369,0,0,1
732,1,2107.1999999284744,0,35150,5,6.057,0.05,6.559,0,0,1
733,1,1332.8999999761581,100,35250,25,3.24,0.25,4.223,0,0,1
734,1,1233.3999999761581,0,35250,25,2.365,0.25,2.076,0,0,1
735,1,1187.1999999284744,50,35300,25,3.152,0.25,3.945,0,0,1
736,1,1624.6000000238419,0,35300,15,4.856,0.15,8.386,0,0,1
737,1,1551,100,35400,15,4.561,0.15,6.781,0,0,1
738,1,1328.6999999284744,100,35500,25,3.038,0.25,3.608,0,0,1
739,1,1487.2000000476837,0,35500,15,4.688,0.15,7.431,0,0,1
740,1,1234.8999999761581,50,35550,15,3.51,0.15,3.117,0,0,1
741,1,1304.8999999761581,0,35550,25,2.084,0.25,1.62,0,0,1
742,1,1102.8999999761581,0,35550,25,2.221,0.25,1.832,0,0,1
743,1,1402.5,50,35600,25,3.327,0.25,4.517,0,0,1
744,1,1483.5,0,35600,15,4.251,0.15,5.413,0,0,1
745,1,1620.4000000953674,0,35600,15,4.409,0.15,6.075,0,0,1
746,1,1377.3999999761581,0,35600,15,4.215,0.15,5.272,0,0,1
747,1,2405.3000000715256,100,35700,5,5.718,0.05,5.165,0,0,1
748,1,1591.2000000476837,100,35800,15,4.704,0.15,7.518,0,0,1
749,1,1777.2000000476837,50,35850,15,4.884,0.15,8.56,0,0,1
750,1,2151.100000023842,100,35950,5,6.039,0.05,6.474,0,0,1
751,0,3011,100,35950,5,6.091,0.05,6.719,1,0,1
751,1,1919.5999999046326,100,36050,5,6.091,0.05,6.719,0,0,1
752,1,2049.5,50,36100,5,5.577,0.05,4.675,0,0,1
753,1,1476.2999999523163,0,36100,15,3.728,0.15,3.674,0,0,1
754,1,1221.0999999046326,100,36200,25,2.869,0.25,3.153,0,0,1
755,1,1206.5,0,36200,25,2.879,0.25,3.177,0,0,1
756,1,1415.7999999523163,100,36300,15,4.523,0.15,6.596,0,0,1
757,1,1206.1999999284744,100,36400,15,4.848,0.15,8.341,0,0,0
758,1,1558.6000000238419,100,36500,15,3.803,0.15,3.886,0,0,1
759,1,1323.2999999523163,100,36600,25,2.263,0.25,1.899,0,0,1
760,1,1333.4000000953674,50,36650,25,2.364,0.25,2.074,0,0,1
761,1,1495.3000000715256,50,36700,15,4.325,0.15,5.712,0,0,1
762,1,1131,100,36800,15,3.684,0.15,3.557,0,0,1
763,1,1110.9000000953674,50,36850,15,3.787,0.15,3.84,0,0,1
764,1,1241.7000000476837,0,36850,25,2.7,0.25,2.75,0,0,1
765,1,1894.0999999046326,100,36950,15,3.717,0.15,3.645,0,0,1
766,1,2154.7000000476837,0,36950,5,6.276,0.05,7.647,0,0,1
767,1,1236.2999999523163,50,37000,15,4.462,0.15,6.312,0,0,1
768,1,1688.6999999284744,50,37050,15,4.395,0.15,6.012,0,0,1
769,0,2966.7000000476837,100,37050,5,6.254,0.05,7.532,0,0,1
770,1,1366.6000000238419,100,37150,15,3.971,0.15,4.404,0,0,1
771,1,1416.2000000476837,0,37150,25,2.481,0.25,2.292,0,0,1
772,1,1326.8000000715256,0,37150,15,4.287,0.15,5.557,0,0,1
773,1,1315.6000000238419,50,37200,25,2.196,0.25,1.791,0,0,1
774,1,1186.8999999761581,0,37200,15,3.902,0.15,4.184,0,0,1
775,1,1914.8999999761581,0,37200,15,4.292,0.15,5.576,0,0,1
776,1,1866.2999999523163,50,37250,15,4.707,0.15,7.534,0,0,1
777,1,1381.0999999046326,100,37350,15,4.236,0.15,5.353,0,0,1
778,1,1587.5,0,37350,15,3.87,0.15,4.086,0,0,1
779,1,1062.2999999523163,100,37450,25,2.77,0.25,2.911,0,0,1
780,1,1696.7000000476837,50,37500,15,3.663,0.15,3.499,0,0,1
781,1,1382.3999999761581,50,37550,15,3.603,0.15,3.345,0,0,1
782,1,1382.7999999523163,0,37550,15,4.315,0.15,5.67,0,0,1
783,1,2208.6999999284744,100,37650,5,5.765,0.05,5.337,0,0,1
784,1,1412.2000000476837,100,37750,15,3.763,0.15,3.773,0,0,1
785,1,1538.3999999761581,50,37800,15,4.539,0.15,6.676,0,0,1
786,1,2084.5,100,37900,5,5.543,0.05,4.561,0,0,1
787,1,1545.8999999761581,100,38000,25,2.471,0.25,2.272,0,0,1
788,1,2759.7999999523163,50,38050,5,6.174,0.05,7.121,0,0,1
789,1,1345.8000000715256,100,38150,15,3.942,0.15,4.309,0,0,1
790,1,1933.6999999284744,50,38200,15,4.498,0.15,6.479,0,0,1
791,1,1013.2000000476837,0,38200,25,2.531,0.25,2.389,0,0,1
792,1,1996.7000000476837,0,38200,5,6.017,0.05,6.374,0,0,1
793,1,1052.8000000715256,100,38300,25,2.273,0.25,1.916,0,0,1
794,1,1534.5,100,38400,15,3.955,0.15,4.354,0,0,1
795,1,1376.6000000238419,100,38500,15,4.347,0.15,5.806,0,0,1
796,1,1285.9000000953674,100,38600,25,3.153,0.25,3.947,0,0,1
797,1,1330,50,38650,25,3.306,0.25,4.445,0,0,1
798,1,1880.8000000715256,0,38650,5,5.754,0.05,5.296,0,0,1
799,1,1934.1999999284744,50,38700,15,4.72,0.15,7.607,0,0,1
800,1,1739.3000000715256,0,38700,5,6.346,0.05,8.034,0,0,1
801,1,2232.399999976158,0,38700,5,6.3,0.05,7.781,0,0,1
802,1,1708.7000000476837,100,38800,5,5.185,0.05,3.538,0,0,1
803,1,1435,0,38800,15,4.57,0.15,6.826,0,0,1
804,1,1563,50,38850,15,3.969,0.15,4.399,0,0,1
805,1,2287.2999999523163,50,38900,5,5.739,0.05,5.24,0,0,1
806,1,1495.6999999284744,50,38950,25,2.976,0.25,3.433,0,0,1
807,1,1666.6000000238419,100,39050,15,4.644,0.15,7.202,0,0,1
808,1,1108,50,39100,25,2.9,0.25,3.232,0,0,1
809,1,1696.3999999761581,50,39150,15,4.868,0.15,8.46,0,0,1
810,1,1408,100,39250,25,2.765,0.25,2.899,0,0,1
811,1,1572.1999999284744,50,39300,15,4.252,0.15,5.418,0,0,1
812,1,1726,50,39350,15,4.702,0.15,7.511,0,0,1
813,1,1947.5,0,39350,5,6.081,0.05,6.67,0,0,1
814,1,1232.2000000476837,0,39350,25,2.158,0.25,1.732,0,0,1
815,1,1314.8000000715256,0,39350,15,4.3,0.15,5.608,0,0,1
816,1,2424.2000000476837,100,39450,5,6.261,0.05,7.57,0,0,1
817,1,1214.1000000238419,100,39550,25,2.405,0.25,2.149,0,0,1
818,1,1394.3999999761581,0,39550,15,4.197,0.15,5.202,0,0,1
819,1,2262.7999999523163,0,39550,5,5.289,0.05,3.809,0,0,1
820,1,1756.0999999046326,50,39600,5,5.499,0.05,4.423,0,0,1
821,1,1647.3000000715256,100,39700,15,4.061,0.15,4.708,0,0,1
