trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
83,1,1624.2000000476837,0,4400,15,4.604,0.15,6.998,0,0,1
84,1,1442,50,4450,15,3.771,0.15,3.796,0,0,1
85,1,2730.4000000953674,0,4450,5,5.997,0.05,6.286,0,0,1
86,1,1230.0999999046326,100,4550,15,3.895,0.15,4.163,0,0,1
87,1,2238.0999999046326,0,4550,5,5.155,0.05,3.464,0,0,1
88,1,1694.2999999523163,50,4600,5,5.062,0.05,3.242,0,0,1
89,1,1234.1999998092651,50,4650,26,3.453,0.25,4.976,0,0,1
90,1,1450.2000000476837,50,4700,15,3.505,0.15,3.106,0,0,1
91,1,1273.7999999523163,100,4800,26,2.862,0.25,3.135,0,0,1
92,1,1642.9000000953674,100,4900,26,3.365,0.25,4.653,0,0,1
93,1,1439.5999999046326,0,4900,15,4.502,0.15,6.497,0,0,1
94,1,1554.2000000476837,0,4900,15,4.544,0.15,6.699,0,0,1
95,1,2448.2000000476837,0,4900,5,5.814,0.05,5.525,0,0,1
96,1,1488.7000000476837,0,4900,26,3.195,0.25,4.079,0,0,1
97,1,2079.7999999523163,100,5000,5,5.311,0.05,3.869,0,0,1
98,1,2258.2000000476837,0,5000,5,6.259,0.05,7.56,0,0,1
99,1,1384.3000001907349,50,5050,26,3.159,0.25,3.965,0,0,1
100,1,1520.0999999046326,0,5050,26,2.518,0.25,2.364,0,0,1
101,1,1312,50,5100,15,4.085,0.15,4.791,0,0,1
102,1,1068.2999999523163,50,5150,26,2.538,0.25,2.403,0,0,1
103,1,1286.1000001430511,50,5200,15,3.688,0.15,3.565,0,0,1
104,1,2148.300000190735,100,5300,5,5.223,0.05,3.634,0,0,1
105,1,1354.2000000476837,50,5350,26,2.919,0.25,3.281,0,0,1
106,1,2298.2999999523163,50,5400,5,5.088,0.05,3.302,0,0,1
107,1,2542.2000000476837,50,5450,5,5.029,0.05,3.164,0,0,1
108,1,1196.0999999046326,0,5450,26,2.121,0.25,1.675,0,0,1
109,1,1192.2999999523163,100,5550,26,2.542,0.25,2.411,0,0,1
110,1,1206.0999999046326,50,5600,26,2.545,0.25,2.418,0,0,1
111,1,1780.2999999523163,50,5650,5,5.398,0.05,4.116,0,0,1
112,1,1525.8999998569489,0,5650,15,4.797,0.15,8.037,0,0,1
113,1,1292.3999998569489,100,5750,26,3.105,0.25,3.801,0,0,1
114,0,3004,0,5750,5,6.4,0.05,8.343,1,0,1
114,1,2927.2000000476837,0,5750,5,6.4,0.05,8.343,0,0,1
115,1,2402.199999809265,50,5800,5,5.227,0.05,3.645,0,0,1
116,1,2180.4000000953674,100,5900,5,5.082,0.05,3.286,0,0,1
117,1,1396.2000000476837,50,5950,15,3.556,0.15,3.229,0,0,1
118,1,2646.199999809265,0,5950,5,5.674,0.05,5.007,0,0,1
119,1,1690.2999999523163,50,6000,15,4.608,0.15,7.017,0,0,1
120,1,1342.3000001907349,0,6000,15,3.636,0.15,3.429,0,0,1
121,1,1280.1000001430511,100,6100,15,3.586,0.15,3.303,0,0,1
122,1,1404.3999998569489,100,6200,26,2.736,0.25,2.832,0,0,1
123,1,1548.2999999523163,50,6250,15,4.06,0.15,4.703,0,0,1
124,1,1566,50,6300,15,3.806,0.15,3.896,0,0,1
125,1,1822.1000001430511,50,6350,5,5.206,0.05,3.59,0,0,1
126,1,1910.5,0,6350,5,5.651,0.05,4.924,0,0,1
127,1,2928.2999999523163,50,6400,5,5.785,0.05,5.414,0,0,1
128,0,3015.7000000476837,50,6400,5,6.45,0.05,8.643,1,0,1
128,1,2497.300000190735,50,6450,5,6.45,0.05,8.643,0,0,1
129,1,1436.2000000476837,0,6450,26,2.786,0.25,2.948,0,0,1
130,1,1380.1000001430511,100,6550,15,3.858,0.15,4.052,0,0,1
131,1,1770.7000000476837,0,6550,5,6.311,0.05,7.84,0,0,1
132,1,1811.9000000953674,100,6650,5,5.526,0.05,4.507,0,0,1
133,1,1454.2000000476837,100,6750,26,2.659,0.25,2.658,0,0,1
134,1,1382.5,100,6850,26,3.412,0.25,4.822,0,0,1
135,1,1821.9000000953674,0,6850,15,4.906,0.15,8.696,0,0,1
136,1,2080.5,0,6850,5,6.247,0.05,7.497,0,0,1
137,1,1130.2999999523163,100,6950,26,2.777,0.25,2.928,0,0,1
138,1,2092.2000000476837,50,7000,5,5.222,0.05,3.631,0,0,1
139,1,1372.1999998092651,50,7050,26,2.147,0.25,1.715,0,0,1
140,1,2584.5,50,7100,5,5.85,0.05,5.668,0,0,1
141,1,2426.0999999046326,100,7200,5,6.294,0.05,7.747,0,0,1
142,1,2102.2999999523163,0,7200,5,5.433,0.05,4.22,0,0,1
143,1,1974.6000001430511,100,7300,5,6.41,0.05,8.402,0,0,1
144,1,1654,0,7300,15,4.851,0.15,8.357,0,0,1
145,1,1576.2999999523163,50,7350,15,4.33,0.15,5.735,0,0,1
146,1,2036.4000000953674,50,7400,15,4.888,0.15,8.582,0,0,1
147,1,1616.1000001430511,100,7500,15,3.712,0.15,3.632,0,0,1
148,1,1110.2999999523163,0,7500,26,2.991,0.25,3.475,0,0,1
149,1,1092,50,7550,26,2.405,0.25,2.148,0,0,1
150,1,2074.0999999046326,0,7550,5,5.953,0.05,6.096,0,0,1
151,1,1152.2999999523163,0,7550,26,2.992,0.25,3.478,0,0,1
152,1,1422.2000000476837,0,7550,26,2.885,0.25,3.193,0,0,1
153,1,2986.5,50,7600,5,6.291,0.05,7.73,0,0,1
154,1,1190.1000001430511,0,7600,26,2.427,0.25,2.19,0,0,1
155,1,2160.5,100,7700,5,6.256,0.05,7.544,0,0,1
156,1,1812.0999999046326,100,7800,15,4.517,0.15,6.568,0,0,1
157,1,1172.1999998092651,50,7850,26,2.362,0.25,2.07,0,0,1
158,1,1582.2999999523163,100,7950,15,4.397,0.15,6.02,0,0,1
159,1,1100.1000001430511,50,8000,26,2.092,0.25,1.632,0,0,1
160,1,1754.0999999046326,0,8000,15,4.836,0.15,8.269,0,0,1
161,1,1984.6000001430511,0,8000,5,5.493,0.05,4.404,0,0,1
