trial,success,reaction_time,target_p,total_p,target_radius,id,w,d,skipped,inaccurate,gen
75,1,2614.4000000059605,100,2300,6,5.206,0.05,3.591,0,0,1
76,1,1844.4000000059605,50,2350,17,4.164,0.15,5.077,0,0,1
77,1,2099.399999976158,50,2400,6,6.318,0.05,7.878,0,0,1
78,1,1469.0999999940395,100,2500,28,2.931,0.25,3.313,0,0,1
79,1,1359.2999999821186,50,2550,17,3.885,0.15,4.131,0,0,1
80,1,1614.199999988079,50,2600,6,5.974,0.05,6.188,0,0,1
81,0,2110.9000000059605,0,2600,6,5.912,0.05,5.92,0,0,1
82,1,1643.4000000059605,100,2700,6,6.19,0.05,7.2,0,0,1
83,1,1209.2999999821186,50,2750,28,3.05,0.25,3.64,0,0,1
84,1,1975.199999988079,50,2800,17,4.655,0.15,7.258,0,0,1
85,1,1853.5,0,2800,17,4.159,0.15,5.057,0,0,1
86,1,1806.1000000238419,0,2800,17,4.15,0.15,5.028,0,0,1
87,1,1792.199999988079,100,2900,28,2.883,0.25,3.19,0,0,1
88,0,2085,50,2900,6,6.356,0.05,8.089,0,0,1
89,1,1279.699999988079,0,2900,17,4.566,0.15,6.807,0,0,1
90,1,1830.4000000059605,0,2900,17,4.696,0.15,7.477,0,0,1
91,1,2127.5999999940395,0,2900,6,5.005,0.05,3.112,0,0,1
92,0,1389.5999999940395,0,2900,17,3.581,0.15,3.29,0,0,1
93,1,1376.300000011921,50,2950,28,2.711,0.25,2.774,0,0,1
94,1,2117.699999988079,0,2950,6,5.768,0.05,5.35,0,0,1
95,1,1565.2000000178814,0,2950,17,4.128,0.15,4.946,0,0,1
96,1,1464.800000011921,50,3000,28,2.954,0.25,3.375,0,0,1
97,1,1614.0999999940395,100,3100,28,3.358,0.25,4.625,0,0,1
98,1,1449.5,50,3150,17,3.533,0.15,3.172,0,0,1
99,1,1661.2999999821186,100,3250,28,2.729,0.25,2.814,0,0,1
100,1,2556.5,0,3250,6,5.131,0.05,3.404,0,0,1
101,1,2061.600000023842,100,3350,17,4.616,0.15,7.058,0,0,1
102,1,1935.5,50,3400,28,3.208,0.25,4.121,0,0,1
103,1,1847,100,3500,17,4.108,0.15,4.872,0,0,1
104,1,1880,100,3600,6,5.411,0.05,4.154,0,0,1
105,1,1679.5,50,3650,28,3.355,0.25,4.616,0,0,1
106,1,1694.0999999940395,0,3650,28,3.389,0.25,4.739,0,0,1
107,1,1710.7000000178814,0,3650,28,3.016,0.25,3.544,0,0,1
108,1,1869.5999999940395,100,3750,28,2.556,0.25,2.439,0,0,1
109,1,1582.699999988079,50,3800,17,3.701,0.15,3.6,0,0,1
110,1,1470.1000000238419,100,3900,28,3.318,0.25,4.486,0,0,1
111,1,1230.2999999821186,0,3900,6,5.375,0.05,4.051,0,0,1
112,1,1231.0999999940395,100,4000,28,2.372,0.25,2.089,0,0,1
113,1,1382.300000011921,100,4100,28,2.319,0.25,1.995,0,0,1
114,1,1647.800000011921,0,4100,17,3.971,0.15,4.405,0,0,1
115,1,1406.0999999940395,50,4150,17,4.638,0.15,7.171,0,0,1
116,1,1871,50,4200,17,4.159,0.15,5.06,0,0,1
117,1,1143,50,4250,28,2.189,0.25,1.78,0,0,1
118,1,1374.2999999821186,100,4350,28,3.272,0.25,4.332,0,0,1
119,1,1477.2000000178814,50,4400,6,6.187,0.05,7.188,0,0,0
120,1,2285.699999988079,100,4500,17,4.291,0.15,5.571,0,0,1
121,1,2927.5,50,4550,6,5.959,0.05,6.122,0,0,1
122,1,1495.5,100,4650,28,2.631,0.25,2.598,0,0,1
123,0,3013.699999988079,50,4650,6,6.22,0.05,7.352,1,0,1
123,0,2358.5,50,4650,6,6.22,0.05,7.352,0,0,1
124,1,1550.800000011921,100,4750,17,3.653,0.15,3.475,0,0,1
125,1,1943.0999999940395,50,4800,17,4.498,0.15,6.481,0,0,1
126,1,934.9000000059605,50,4850,28,2.295,0.25,1.954,0,0,1
127,1,1447.2000000178814,0,4850,28,2.135,0.25,1.696,0,0,1
128,1,1566.9000000059605,0,4850,28,3.458,0.25,4.993,0,0,1
129,1,1182.300000011921,50,4900,17,3.738,0.15,3.703,0,0,1
130,1,1895.5,100,5000,28,2.339,0.25,2.03,0,0,1
131,1,2164.5999999940395,100,5100,17,4.241,0.15,5.373,0,0,1
132,1,1272.5,100,5200,28,2.119,0.25,1.672,0,0,1
133,1,1927.2999999821186,50,5250,17,4.584,0.15,6.895,0,0,1
134,1,999.4000000059605,0,5250,28,2.083,0.25,1.619,0,0,1
135,1,1261.7999999821186,50,5300,28,3.001,0.25,3.503,0,0,1
136,1,2406.699999988079,100,5400,6,5.369,0.05,4.032,0,0,1
137,0,3001.0999999940395,100,5400,6,5.004,0.05,3.109,1,0,1
137,1,2093.2999999821186,100,5500,6,5.004,0.05,3.109,0,0,1
138,1,1056.699999988079,100,5600,28,2.127,0.25,1.684,0,0,1
139,1,1556.5999999940395,50,5650,17,3.954,0.15,4.35,0,0,1
140,1,1719.300000011921,100,5750,17,4.896,0.15,8.629,0,0,1
141,1,2318.699999988079,50,5800,17,4.991,0.15,9.239,0,0,1
142,1,1372.8999999761581,50,5850,28,2.851,0.25,3.106,0,0,1
143,1,1215.9000000059605,100,5950,28,2.941,0.25,3.339,0,0,1
144,1,2767.4000000059605,100,6050,6,5.362,0.05,4.012,0,0,1
145,1,2190.5,100,6150,6,5.644,0.05,4.9,0,0,1
146,1,2295.4000000059605,100,6250,17,4.265,0.15,5.467,0,0,1
147,1,1885.300000011921,50,6300,17,4.825,0.15,8.204,0,0,1
148,0,2071.2000000178814,0,6300,6,6.366,0.05,8.15,0,0,1
149,1,1206,50,6350,28,2.28,0.25,1.928,0,0,1
150,1,2103.300000011921,100,6450,17,4.205,0.15,5.235,0,0,1
151,1,1389,100,6550,28,2.124,0.25,1.68,0,0,1
152,1,1353.4000000059605,100,6650,17,4.124,0.15,4.932,0,0,1
153,1,1438.0999999940395,50,6700,28,2.307,0.25,1.974,0,0,1
154,1,1503.4000000059605,100,6800,17,4.565,0.15,6.801,0,0,1
155,1,2095.7999999821186,0,6800,17,4.597,0.15,6.959,0,0,1
156,1,1390.9000000059605,50,6850,28,2.354,0.25,2.057,0,0,1
157,1,1863.2000000178814,100,6950,17,4.427,0.15,6.154,0,0,1
158,1,1502.800000011921,50,7000,17,4.436,0.15,6.194,0,0,1
159,1,2533.5999999940395,50,7050,6,6.477,0.05,8.806,0,0,1
160,1,1687.5999999940395,50,7100,28,3.077,0.25,3.718,0,0,1
161,0,3005,50,7100,6,5.756,0.05,5.306,1,0,1
161,0,2161.4000000059605,50,7100,6,5.756,0.05,5.306,0,0,1
162,1,1521,0,7100,17,3.511,0.15,3.121,0,0,1
163,1,1435.6000000238419,100,7200,17,4.333,0.15,5.745,0,0,1
164,1,2423.5,100,7300,6,6.135,0.05,6.929,0,0,1
165,1,1262.300000011921,100,7400,17,3.69,0.15,3.571,0,0,1
166,1,2278.0999999940395,100,7500,6,5.155,0.05,3.462,0,0,1
167,0,1415.0999999940395,0,7500,28,2.835,0.25,3.069,0,0,1
168,1,2809,100,7600,6,5.326,0.05,3.91,0,0,1
169,1,2015.2999999821186,50,7650,17,4.69,0.15,7.444,0,0,1
170,1,1828.800000011921,50,7700,6,6.041,0.05,6.483,0,0,1
171,1,1678.699999988079,0,7700,28,3.258,0.25,4.283,0,0,1
172,1,2495.199999988079,100,7800,6,6.444,0.05,8.607,0,0,1
173,1,1391.800000011921,50,7850,28,3.078,0.25,3.722,0,0,1
174,1,1821.5999999940395,0,7850,17,4.018,0.15,4.559,0,0,1
175,1,1351,50,7900,28,2.63,0.25,2.596,0,0,1
176,1,1983.5,50,7950,6,5.063,0.05,3.242,0,0,1
177,1,1509.199999988079,100,8050,17,4.046,0.15,4.654,0,0,1
178,1,1839.5999999940395,50,8100,6,5.339,0.05,3.946,0,0,1
179,1,1910.2000000178814,100,8200,17,3.68,0.15,3.545,0,0,1
180,1,1463.300000011921,50,8250,28,2.726,0.25,2.808,0,0,1
181,1,1983.4000000059605,50,8300,17,4.85,0.15,8.354,0,0,1
182,0,1982.0999999940395,100,8300,6,5.492,0.05,4.402,0,0,1
183,1,1098.800000011921,50,8350,28,2.795,0.25,2.971,0,0,1
184,1,2035.300000011921,0,8350,28,2.889,0.25,3.204,0,0,1
185,1,1735.5999999940395,0,8350,17,3.704,0.15,3.61,0,0,1
186,1,1351.7999999821186,100,8450,28,2.831,0.25,3.059,0,0,1
187,1,1604.5,0,8450,17,4.524,0.15,6.6,0,0,1
188,1,2145.0999999940395,50,8500,17,3.864,0.15,4.069,0,0,1
189,1,1851.300000011921,0,8500,17,4.426,0.15,6.15,0,0,1
190,1,1952.2000000178814,50,8550,17,4.646,0.15,7.21,0,0,1
191,1,1511,50,8600,28,3.058,0.25,3.664,0,0,1
192,1,1398.7999999821186,0,8600,28,2.842,0.25,3.084,0,0,1
193,1,2176.9000000059605,50,8650,6,5.141,0.05,3.428,0,0,1
194,1,2021.5,50,8700,17,3.532,0.15,3.171,0,0,1
195,1,1486.4000000059605,0,8700,17,4.049,0.15,4.665,0,0,1
196,1,1279.199999988079,0,8700,28,3.444,0.25,4.94,0,0,1
197,0,3004.5999999940395,100,8700,6,5.877,0.05,5.779,1,0,1
197,0,3015.7999999821186,100,8700,6,5.877,0.05,5.779,1,0,1
197,1,2170.699999988079,100,8800,6,5.877,0.05,5.779,0,0,1
198,1,1367.9000000059605,0,8800,17,4.252,0.15,5.418,0,0,1
199,1,1557.6000000238419,0,8800,17,4.882,0.15,8.546,0,0,0
200,1,2454.5,100,8900,6,5.64,0.05,4.886,0,0,1
201,0,952.0999999940395,0,8900,6,5.444,0.05,4.252,0,1,1
201,1,1810.199999988079,0,8900,6,5.444,0.05,4.252,0,0,1
202,1,1699.2999999821186,50,8950,17,4.638,0.15,7.168,0,0,1
203,1,1421.2000000178814,50,9000,28,2.931,0.25,3.314,0,0,1
204,1,2414.5999999940395,100,9100,6,5.668,0.05,4.986,0,0,1
205,1,2448.5999999940395,0,9100,6,5.357,0.05,3.998,0,0,1
206,1,2469.399999976158,100,9200,6,5.226,0.05,3.644,0,0,1
207,1,1520.6000000238419,0,9200,28,2.891,0.25,3.209,0,0,1
208,1,2970,50,9250,6,6.295,0.05,7.751,0,0,1
209,0,3008.399999976158,50,9250,6,5.139,0.05,3.425,1,0,1
209,1,2754.4000000059605,50,9300,6,5.139,0.05,3.425,0,0,1
210,1,1796.5999999940395,100,9400,17,4,0.15,4.499,0,0,1
211,1,1408,100,9500,28,2.008,0.25,1.511,0,0,1
212,1,1678.4000000059605,50,9550,28,2.778,0.25,2.93,0,0,1
213,1,1966.8999999761581,50,9600,17,4.908,0.15,8.708,0,0,1
214,1,1599.3999999761581,0,9600,17,3.939,0.15,4.302,0,0,1
215,1,1599.2999999821186,50,9650,28,3.089,0.25,3.756,0,0,1
216,1,1317.9000000059605,100,9750,28,2.117,0.25,1.67,0,0,1
217,1,2888.5,50,9800,6,5.153,0.05,3.458,0,0,1
218,1,1557.2000000178814,100,9900,17,3.565,0.15,3.251,0,0,1
219,1,2831.0999999940395,0,9900,6,6.063,0.05,6.588,0,0,1
220,1,1943.6000000238419,100,10000,17,3.81,0.15,3.907,0,0,1
